country,year,gdp,pop,unemp
IE,2005,216.333522251656,4.159914,4.30000019073486
IE,2006,229.023923576159,4.273591,4.40000009536743
IE,2007,237.719122516556,4.398942,4.59999990463257
IE,2008,227.32252052980098,4.489544,6
IL,2005,189.026703647032,6.9301,9
IL,2006,199.99367074788,7.0537,8.39999961853027
IL,2007,212.26344043608802,7.1801,7.30000019073486
IL,2008,218.75744309354198,7.3088,6.09999990463257
IM,2005,3.81541467212404,0.080345,NA
IM,2006,4.1092016590485,0.08111,NA
IM,2007,4.4156274995648,0.081914,NA
IM,2008,4.85050778987794,0.082737,NA
IN,2005,1123.3724567423799,1144.326293,4.40000009536743
IN,2006,1227.4412194046201,1162.088305,4.30000019073486
IN,2007,1333.10187091404,1179.685631,3.70000004768372
IN,2008,1384.97229230954,1197.070109,4.09999990463257
IQ,2005,104.18798472099,27.017712,18
IQ,2006,114.77160814941499,27.716983,17.5
IQ,2007,116.35269969720599,28.423538,16.8999996185303
IQ,2008,125.926324446493,29.163327,15.3000001907349
IR,2005,368.530410531603,70.122115,12.1000003814697
IR,2006,389.55231354127,70.923164,11.6000003814697
IR,2007,425.06455441908696,71.720859,10.6000003814697
IR,2008,428.990857822095,72.530693,10.5
IS,2005,12.440092240952,0.296734,2.59999990463257
IS,2006,12.9633685825961,0.303782,3
IS,2007,14.1939695357889,0.311566,2.29999995231628
IS,2008,14.4038673481575,0.317414,3
IT,2005,2158.85043774834,57.969484,7.69999980926514
IT,2006,2202.16966357616,58.143979,6.80000019073486
IT,2007,2234.62681470199,58.43831,6.09999990463257
IT,2008,2211.15417655629,58.826731,6.69999980926514
JM,2005,13.5188576460902,2.643601,10.8999996185303
JM,2006,13.910786275082799,2.653042,9.60000038146973
JM,2007,14.109982340678801,2.662481,9.39999961853027
JM,2008,13.9953030462447,2.671934,10.6000003814697
JO,2005,19.524434981114897,5.332982,14.8999996185303
JO,2006,21.1046121615294,5.530218,14
JO,2007,22.830065952603,5.759424,13.1000003814697
JO,2008,24.4812295786302,6.010035,12.6999998092651
JP,2005,5405.03937632192,127.773,4.40000009536743
JP,2006,5496.541517363309,127.854,4.09999990463257
JP,2007,5617.03594377073,128.001,3.90000009536743
JP,2008,5558.52687331382,128.063,4
KE,2005,31.3231800822313,35.34904,9.5
KE,2006,33.3505711272017,36.286015,9.5
KE,2007,35.6353286320885,37.25054,9.39999961853027
KE,2008,35.7181033518622,38.244442,9.39999961853027
KG,2005,3.85938225251029,5.1626,8.10000038146973
KG,2006,3.9791349739144,5.2184,8.30000019073486
KG,2007,4.31906749668377,5.2684,8.19999980926514
KG,2008,4.68193896069465,5.3187,8.19999980926514
KH,2005,8.13833562925166,13.320058,1.29999995231628
KH,2006,9.01492285347018,13.52536,0.899999976158142
KH,2007,9.935578323299431,13.7287,0.600000023841858
KH,2008,10.6004252443636,13.93366,0.300000011920929
KI,2005,0.157331547133334,0.092329,NA
KI,2006,0.154844134301106,0.094257,NA
KI,2007,0.15825406835475297,0.09631,NA
KI,2008,0.155330423724646,0.098437,NA
KM,2005,0.490117180091071,0.618632,6.59999990463257
KM,2006,0.503090091083543,0.633814,6.59999990463257
KM,2007,0.507115580528921,0.649404,6.59999990463257
KM,2008,0.509145396115511,0.665414,6.59999990463257
KN,2005,0.661800797996189,0.049139,NA
KN,2006,0.700749201345177,0.049818,NA
KN,2007,0.699673794613523,0.050465,NA
KN,2008,0.743696676570117,0.051093,NA
KP,2005,NA,23.813324,4.19999980926514
KP,2006,NA,23.969897,4.19999980926514
KP,2007,NA,24.111945,4.09999990463257
KP,2008,NA,24.243829,4.19999980926514
KR,2005,894.7084972159771,48.138077,3.70000004768372
KR,2006,941.019807778309,48.371946,3.40000009536743
KR,2007,992.4315412422011,48.597652,3.20000004768372
KR,2008,1020.50955788665,48.948698,3.20000004768372
KW,2005,108.93145568736901,2.263604,2
KW,2006,117.123372644801,2.389498,1.29999995231628
KW,2007,124.14100837404,2.538591,1.5
KW,2008,127.219511514306,2.70529,1.79999995231628
KY,2005,NA,0.048623,NA
KY,2006,NA,0.050028,NA
KY,2007,NA,0.05148,NA
KY,2008,NA,0.052925,NA
KZ,2005,109.48246734000999,15.147029,8.10000038146973
KZ,2006,121.197091345391,15.308084,7.80000019073486
KZ,2007,131.98363247512398,15.484192,7.30000019073486
KZ,2008,136.339092347081,15.674,6.59999990463257
LA,2005,4.848156050125921,5.745012,1.39999997615814
LA,2006,5.26603152629193,5.838837,1.39999997615814
LA,2007,5.66608292592788,5.939634,1.39999997615814
LA,2008,6.10944840532773,6.045439,1.39999997615814
LB,2005,26.3383084577114,3.986865,8.19999980926514
LB,2006,26.748258706467702,4.057041,8.39999961853027
LB,2007,29.249087893863997,4.085426,9
LB,2008,31.918407960199,4.109389,7.19999980926514
LC,2005,1.1265617126290701,0.165407,NA
LC,2006,1.2191948091401,0.167656,NA
LC,2007,1.2170548728051,0.170146,NA
LC,2008,1.2678943164821999,0.172729,NA
LI,2005,NA,0.034852,NA
LI,2006,NA,0.035141,NA
LI,2007,NA,0.035431,NA
LI,2008,NA,0.035721,NA
LK,2005,41.633334150860804,19.373,7.69999980926514
LK,2006,44.8258997412981,19.52,6.5
LK,2007,47.8726382029726,19.668,6
LK,2008,50.721102373424,19.817,5.19999980926514
LR,2005,0.9124798731442221,3.269786,4.90000009536743
LR,2006,0.985872107763442,3.384804,4.09999990463257
LR,2007,1.07987395695073,3.522337,5.59999990463257
LR,2008,1.15705189300929,3.672782,5.09999990463257
LS,2005,1.89937068618547,1.925844,36.4000015258789
LS,2006,1.98217898695596,1.940345,32.5
LS,2007,2.06466499092879,1.955656,26.3999996185303
LS,2008,2.2036690552670897,1.972194,25.2999992370605
LT,2005,35.0238647323794,3.322528,8.30000019073486
LT,2006,37.617887784843695,3.269909,5.59999990463257
LT,2007,41.788565845257004,3.231294,4.30000019073486
LT,2008,42.8868019342872,3.198231,5.80000019073486
LU,2005,46.3418543046358,0.465158,4.5
